project_id,deployment_id,image_id,filename,sequence_id,location,wi_taxon_id,class,order,family,genus,species,common_name,timestamp,bounding_boxes
2007494,AZCAM01 - 20240322,033f69a6-c180-49d9-98cd-a40c3f6c53b7,IMG_0001.JPG,9273424,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/cf51f771-e670-4747-ac5f-098aed9eb27d.JPG,aa191c53-bf22-47d7-bad0-6bb76f43f934,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common Black-Hawk,02/02/2024 8:34,"{""{\""detectionBox\"":[0.722326934,0.655888557,0.90235883,0.747290611]}""}"
2007494,AZCAM01 - 20240322,d16fb1f8-0237-4033-95a4-24f705428e9a,IMG_0002.JPG,9273424,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/f23de0f8-1841-4736-b5f1-f34c7d1d7981.JPG,aa191c53-bf22-47d7-bad0-6bb76f43f934,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common Black-Hawk,02/02/2024 8:34,"{""{\""detectionBox\"":[0.785252452,0.65113765,0.901448488,0.731319129]}""}"
2007494,AZCAM01 - 20240322,6409b858-a426-4511-b050-abf952665c95,IMG_0003.JPG,9273424,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/bdfcd7f5-dd0d-4673-9553-24a5a261673d.JPG,aa191c53-bf22-47d7-bad0-6bb76f43f934,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common Black-Hawk,02/02/2024 8:34,"{""{\""detectionBox\"":[0.788951576,0.650797307,0.903231204,0.726979077]}""}"
2007494,AZCAM01 - 20240322,dfdf6afb-35d1-4bc7-8f85-81f98d768a8d,IMG_0256.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/c444c554-75ea-4428-b9c7-b32db89127ec.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,"{""{\""detectionBox\"":[0.659805119,0.408852488,0.927886128,0.597258508]}""}"
2007494,AZCAM01 - 20240322,afc1b7c1-7451-4b07-ade2-d4af54d45ee0,IMG_0258.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/c6dfc16c-fbda-4801-b8ba-5033db2646eb.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,
2007494,AZCAM01 - 20240322,c030977c-3828-4c52-9539-cecb5d3b2181,IMG_0259.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/bace7f18-aed3-4666-810e-9962dc43dd3e.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,"{""{\""detectionBox\"":[0.0852451622,0.711465776,0.664988816,0.859522641]}""}"
2007494,AZCAM01 - 20240322,0341e3f1-fd89-454f-83a7-d43b9bc2e1c5,IMG_0260.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/865ef617-7a60-47ac-8afe-87159db2328a.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,"{""{\""detectionBox\"":[0.138512328,0.661222577,0.714108586,0.833094]}""}"
2007494,AZCAM01 - 20240322,9eb86e18-a31e-4005-8f2f-84d37dca9e46,IMG_0261.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/7eeb83fb-f81c-4d11-952d-555b8264e1bd.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,"{""{\""detectionBox\"":[0.235258743,0.607418835,0.795738637,0.817288816]}""}"
2007494,AZCAM01 - 20240322,379736bb-1e5d-4632-9d19-97fde2941395,IMG_0257.JPG,9273501,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/c76b451d-ff17-4bc8-9493-28cffdcb2268.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 0:06,"{""{\""detectionBox\"":[0.727872074,0.337950557,0.956017911,0.524448931]}""}"
2007494,AZCAM01 - 20240322,55f14928-65eb-41ab-9ade-e32cbada154a,IMG_0264.JPG,9273504,gs://145625598251_2007494_528_azuero_biodiversidad__main/deployment/2297598/44e09a34-3f75-4ea6-b5b9-4c634161bc8c.JPG,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed Coati,27/02/2024 2:45,"{""{\""detectionBox\"":[0.465307862,0.461285084,0.936096847,0.533758402]}""}"
